2024-05-15 11:32:12,033 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():567] wandb.init called with sweep_config: {'dropout': 0.1, 'gamma': 0.99, 'lr': 0.0001, 'method_name': 'spo+', 'neurons': 128, 'num_epochs': 2}
config: {}
2024-05-15 11:32:12,033 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():610] starting backend
2024-05-15 11:32:12,033 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():614] setting up manager
2024-05-15 11:32:12,041 INFO    Thread-18 (_run_job):29300 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2024-05-15 11:32:12,042 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():622] backend started and connected
2024-05-15 11:32:12,052 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_config_callback():1376] config_cb None None {'dropout': 0.1, 'gamma': 0.99, 'lr': 0.0001, 'method_name': 'spo+', 'neurons': 128, 'num_epochs': 2}
2024-05-15 11:32:12,053 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_label_probe_notebook():1328] probe notebook
2024-05-15 11:32:12,053 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_label_probe_notebook():1338] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2024-05-15 11:32:12,053 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():711] updated telemetry
2024-05-15 11:32:12,363 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-05-15 11:32:14,394 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_on_init():2396] communicating current version
2024-05-15 11:32:15,537 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_on_init():2405] got version response 
2024-05-15 11:32:15,537 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():795] starting run threads in backend
2024-05-15 11:32:15,811 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_console_start():2374] atexit reg
2024-05-15 11:32:15,811 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_redirect():2229] redirect: wrap_raw
2024-05-15 11:32:15,811 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_redirect():2294] Wrapping output streams.
2024-05-15 11:32:15,811 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_redirect():2319] Redirects installed.
2024-05-15 11:32:15,812 INFO    Thread-18 (_run_job):29300 [wandb_init.py:init():838] run started, returning control to user process
2024-05-15 11:32:17,232 INFO    Thread-18 (_run_job):29300 [wandb_watch.py:watch():51] Watching
2024-05-15 11:32:25,192 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_finish():2103] finishing run Pyepo_special/Sweep Pyepo/x7tx9dyx
2024-05-15 11:32:25,192 ERROR   Thread-18 (_run_job):29300 [jupyter.py:save_history():437] Run pip install nbformat to save notebook history
2024-05-15 11:32:25,192 INFO    Thread-18 (_run_job):29300 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2024-05-15 11:32:25,192 INFO    Thread-18 (_run_job):29300 [wandb_init.py:_jupyter_teardown():448] cleaning up jupyter logic
2024-05-15 11:32:25,192 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_atexit_cleanup():2343] got exitcode: 0
2024-05-15 11:32:25,193 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_restore():2326] restore
2024-05-15 11:32:25,193 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_restore():2332] restore done
2024-05-15 11:32:33,434 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_footer_history_summary_info():3994] rendering history
2024-05-15 11:32:33,435 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_footer_history_summary_info():4026] rendering summary
2024-05-15 11:32:33,449 INFO    Thread-18 (_run_job):29300 [wandb_run.py:_footer_sync_info():3953] logging synced files
